十,じゅう・とお,10
病,びょう,ill/sick
〜後,〜ご,in...time;after...
都合が悪い,つごうがわるい,inconvenient/scheduling conflict
中,なか,inside
院,いん,institution
面白い,おもしろい,interesting/funny
りゅうがくせい,international student
そうですか,Is that so?/I see
久しぶりだ,ひさしぶり,it has been a long time
雨が降る,あめがふる,it rains
大丈夫,だいじょうぶ,it's ok/everything is under control
日本,Japan
ジーンス,jeans
仕事,しごと,job/work
ジュース,juice
〜だけ,just/only
歌舞伎,かぶき,Kabuki
かんじ,kanji
カラオケ,karaoke
親切,な,kind
湖,みずうみ,lake
大きい,おおきい,large
一番後ろ,いちばんうしろ,last car
先月,せんげつ,last month
終電,しゅうでん,last train
せんしゅう,last week
去年,きょねん,last year
後で,あとで,later on
べんごし,lawyer
学,がく・がっ・まな,learning
左,さ・ひだり,left
足,あし,leg/foot
てがみ,letter
としょかん,library
生活,せいかつ,life/living
〜行目,ぎょうめ,line number
きいてください。,Listen please./Ask please.
にざやかな,lively
普通,ふつう,local
寂しい,さびしい,lonely
長い,ながい,long
長,ちょう・なが,long
ひろごはん,lunch
ざっし,magazine
せんこう,major
男,だん・おとこ,man
男の人,man
たくさん,many/alot
試合,しあい,match/game
多分,たぶん,maybe
意地悪,いじわる,mean-spirited
意味,いみ,meaning
薬,くすり,medicine
員,いん,member
メニュウ,menu
牛乳,ぎゅうにゅう,milk
マイナス,minus
分,ふん・ぷん・わ,minute/to divide
金,きん・かね,money
お金,おかね,money
月,げつ・つき,month
もっと,more
だいたい同じです。,more or less the same
あさ,morning
朝,ちょう・あさ,morning
お母さん,おかあさん,mother
母,ぼ・はは・かあ,mother
山,やま・さん,mountain
山,やま,mountain
口,こう・くち・ぐち,mouth
えいが,movie
よく,much/often
市民病院,しみんびょういん,municipal hospital
おんがく,music
なまえ,name
狭い,せまい,narrow
近,ちか・きん,near
今度,こんど,near future
近く,ちかく,nearby
新しい,あたらしい,new
新,しん・あたら,new
お正月,おしょうがつ,New Year's
しんぶん,newspaper
隣,となり,next
次,つぎ,next
次,じ・つぎ,next
来月,らいげつ,next month
来学期,らいがっき,next semester
次は〜,つぎは,next stop
次は〜に止まります。,つぎに〜にとまります,Next stop is...
来週,らいしゅう,next week
来年,らいねん,next year
素敵,すてき,nice
よろしくおねがいします,nice to meet you
夜,や・よる・よ,night
九,きゅう・く・ここの,nine
九つ,ここのつ,nine
ううん,no
ダメです。,no good
結構です,けっこうです,No thanks/that would be fine
いいえ,no/not at all
禁煙車,きんえんしゃ,nonsmoking car
北,ほく・ほっ・きた,north
暇な,ひまな,not busy/lots of free time
あまり,not much
ぜんぜん,not much at all/never
まだ,not yet
何も,なにも,not...anything
ノート,notebook
別に,べつに,nothing in particular
今,こん・いま,now
ばんごう,number
一号車,いちごうしゃ,number one car
もちろん,of course
会社員,かいしゃいん,office worker
まあまあ,okay/so-so
古い,ふるい,old (not for people)
お兄さん,おにいさん,older brother
お姉さん,おねえさん,older sister
姉,あね,older sister
上,うえ,on
歩いて,あるいて,on foot
一,いち・ひと,one
一つ,ひとつ,one
一時間,いちじかん,one hour
一人,ひとり,one person
片道,かたみち,one way
〜か〜,or
元,元・げん・ガン,origin
外,がい・そと,outside
あそこ,over there
午後,ごご,P.M.
ページ,page
パンツ,pants
紙,がみ・し,paper
かっこ,parenthesis
公園,こうえん,park
アルバイト,part time job
パーティー,party
えんぴつ,pencil
人,ひと・じん・にん,person
パンコン,personal computer
写真,しゃしん,photograph/picture
ピアノ,piano
画,が・かく,picture
ピザ,pizza
所,ところ,place
所,じょ・ところ,place
ホーム,platform
をねがいします,please
をください,please give me
いってらしゃい,Please go and come back (be safe)
もういちどいってください。,Please say it again.
ゆっくりいってください。,Please say it slowly.
やめてください。,please stop
ちょっとまってください。,Please wait.
どうぞ,please/here it is
〜点,てん,points
政治,せいじ,politics
とんかつ,pork cutlet
ゆうびんきょく,post office
はがき,postcard
プレゼント,present
社長,しゃちょう,president of a company
〜でしょう,probably/... right?
発音,はつおん,pronounciation
質問,しつもん,question
静かな,しずかな,quiet
雨,あめ,rain
本当ですか,ほんとうですか,really?
赤い,あかい,red-colored
赤,あか・せき,red
予約,よやく,reservation
指定席,していせき,reserved seat
レストラン,restaurant
お手洗い,おてあらい,restroom
田,た・だ,rice field
ごはん,rice/meal
お金持ち,おかねもち,rich person
右,みぎ,right
右,う・ゆう・みぎ,right
正,しょう・ただ,right
川,かわ・がわ,river
部屋,へや,room
ルームメート,roommate
往復,おうふく,round trip
おさけ,sake
同じです,same thing
学校,がっこう,school
校,こう,school
海,うみ,sea
季節,きせつ,season
自,じ,self
文,ぶん,sentence
〜方面,ほうめん,serving...areas
七,しち・なな,seven
七つ,ななつ,seven
新幹線,しんかんせん,Shinkansen
シャツ,shirt
くつ,shoes
売店,ばいてん,shop/stand
かいもの,shopping
背が低い,せがひくい,short
短い,みじかい,short
シャワー,shower
神社,じんじゃ,shrine
病気,びょうき,sickness
歌手,かしゅ,singer
六,ろく,six
六つ,むっつ,six
スキー,ski
上手,じょうず,skillfull/good at
眠い,ねむい,sleepy
遅い,おそい,slow/late
ゆっくり,slowly
小さい,ちいさい,small
小,しょう・ちい,small
雪,せつ・ゆき,snow
雪,ゆき,snow
サッカー,soccer
土,ど・つち,soil
何か,なにか,something
時々,ときどき,sometimes
歌,うた,song
南,なん・みなみ,south
おみやげ,souvenir
温泉,おんせん,spa/hot spring
気,き,spirit
スポーツ,sports
春,はる,spring
階段,かいだん,stairs
きって,stamps
標準語,ひょうじゅんご,standard Japanese
駅,えき,station
お腹,おなか,stomach
強,きょう・つよ,strong
がくせい,student
学割,がくわり,student discount
地下鉄,ちかてつ,subway
夏,なつ,summer
晴れ,はれ,sunny weather
特急,とっきゅう,super express
スーパー,supermarket
すし,sushi
甘い,あまい,sweet
お菓子,おかし,sweets/snacks
々,symbol for repeating kanji
Tシャツ,t-shirt
背が高い,せがたかい,tall
せんせい,teacher
でんわ,telephone
気温,きおん,temperature
おてら,temple
天ぷら,てんぷら,tempura
十,とお,ten
万,まん,ten thousand
テニス,tennis
テスト,test
教科書,きょうかしょ,textbook
ありがとう,Thank you
どうも,thank you
ありがとうございます,Thank you (polite)
いただきます,Thank you for the meal
ごちそうさま,でした,thank you for the meal (after you eat)
その,that
それ,that one
あれ,that one over there
あの,that over there
今日はこれで終わります。,That's it for today.
そうです,that's right
残念,ざんえん,that's too bad
明後日,あさって,the day after tomorrow
ドアが閉まります。ご注意ください。,ドアがしまります。ごちゅういください。,The doors are closing. Please be careful.
じゃあ,then..../if that is the case...
そこ,there
多い,おおい,there are many...
ある,there is
だから,therefore
このごろ,these days
事,じ・ごと,thing
この,this
今月,こんげつ,this month
今朝,けさ,this morning
これ,this one
こちら,this person (polite)
今学期,こんがっき,this semester
今週,こんしゅう,this week
今年,ことし,this year
千,せん・ぜん,thousand
三,さん,three
三つ,みっつ,three
喉,のど,throat
切符,きっぷ,ticket
切符売り場,きっぷうりば,ticket vending area
時,じ・とき,time
度,ど,time/degrees
〜まで,to a place/as far as a place/until a time
聞く,きく,to ask
太ってます,to be fat
興味がある,きょうみがる,to be interested in
遅くなる,おそくなる,to be late
遅刻する,ちこくする,to be late
人気がある,にんきがる,to be popular
やせています,to be thin
なる,to become
お腹が空く,おなかがすく,to become hungry
喉が渇く,のどがかわく,to become thirsty
始める,はじめる,to begin
借りる,かりる,to borrow
別れる,わかれる,to break up/to separate
連れてくる,つれてくる,to bring (a person)
持ってくる,もってくる,to bring (a thing)
かう,to buy
買,ばい・か,to buy
電話する,でんわする,to call
持つ,もつ,to carry/hold on
風邪をひく,かぜをひく,to catch a cold
掃除する,そうじする,to clean
登る,のぼる,to climb
閉める,しめる,to close something
くる,to come
料理する,りょうりする,to cook
せきが出る,せきがでる,to cough
切る,きる,to cut
サボろ,to cut (classes)
踊る,おどる,to dance
決める,きめる,to decide
死ね,しね,to die
する,to do/to decide on/to wear (small items)
運動する,うんどうする,to do exercise
洗濯する,せんたくする,to do laundry
やる,to do/to perform
飲む,のむ,to drink
飲,いん・の,to drink
運転する,うんてんする,to drive
食べる,たべる,to eat
食,しょく・た,to eat
入る,はいる,to enter
入,にゅう・はい・い・いり,to enter
有,ゆう・あ,to exist
出,しゅつ・しゅっ・だ・で,to exit
出る,でる,to exit/appear/attend
喧嘩する,けんかする,to fight
忘れる,わすれる,to forget/leave behind
太る,ふとる,to gain weight
もらう,to get (from somebody)
結婚する,けっこんする〜を,to get married
緊張する,きんちょうする,to get nervous
降りる,おりる,to get off
疲れる,つかれる,to get tired
しる 〜を,to get to know
起きる,おきる,to get up
起,お・き,to get up
行く,いく,to go
行,こう・ぎょう・い,to go
ダイエットする,to go on a diet
出かける,でかける,to go out
大嫌いな,だいきらいな,to hate
熱がある,ねつがある,to have a fever
手伝う,てつだう,to help
持,じ・も,to hold
急ぐ,いそぐ,to hurry
紹介する,しょうかいする,to introduce
習う,ならう,to learn
連,れん・つ,to link
聞,ぶん・き,to listen
聞く,きく,to listen/to hear
住む,すむ,to live
住,じゅう・す,to live
なくす,to lose
やせる,to lose weight
大好きな,だいすきな,to love
作,さく・つく,to make
作る,つくる,to make
電話をかける,でんわをかける,to make a phone call
勉,べん・つと,to make efforts
会,かい・あ,to meet
会う,あう,to meet (a person)
覚える,おぼえる,to memorize
いる,to need
開ける,あける,to open (something)
飼う,かう,to own (a pet)
払う,はらう,to pay
弾く,ひく,to play (a stringed instrument)
遊ぶ,あそぶ,to play/spend time pleasantly
練習する,れんしゅうする,to practice
かぶる ~を,to put on (a hat)
着る,きる〜を,to put on (clothes above the waist)
"",眼鏡をかける,to put on (glasses)
はく　〜を,to put on (items below your waist)
止める,やめる,to quit
読む,よむ,to read
読,どく・よ,to read
映,えい・うつ,to reflect
休,やす・きゅう,to rest
帰,き・かえ,to return
返す,かえす,to return (a thing)
かえる,to return/go back
乗る,のる,to ride/to board
言,げん・い・こと,to say
言う,いう,to say
見,けん・み,to see
見る,みる,to see/to watch/to look at
売,ばい・う,to sell
別,べつ・わか,to separate
仕,し・つか,to serve
歌う,うたう~を,to sing
歌,か・うた,to sing
座る,すわる,to sit down
寝る,ねる,to sleep
タバコを吸う,たばこをすう,to smoke
話す,はなす,to speak/talk
立,りつ・た,to stand
立つ,たつ,to stand up
ジロジロ見る,じろじろみる,to stare at
泊まる,とまる,to stay (at a hotel)
勉強する,べんきょうする,to study
留学する,りゅうがくする,to study abroad
泳ぐ,およぐ,to swim
とる,to take (a picture)
持っていく,もっていく,to take (a thing)
取る,とる,to take (class)/to get (a grade)
かかる,to take (time/money)
お風呂に入る,おふろにはいる,to take a bath
シャワーを浴びる,あびる,to take a shower
散歩する,さんぽする,to take a walk
薬を飲む,くすりをのむ,to take medicine
うそをつく,to tell a lie
思,し・おも,to think
思う,おもう,to think
捨てる,すてる,to throw away
旅行する,りょこうする,to travel
消す,けす,to turn off/erase
つける,to turn on
分かる,わかる,to understand
使う,つかう,to use
使,つか・し,to use
待つ,まつ,to wait
歩く,あるく,to walk
洗う,あらう,to wash
働く,はたらく,to work
働,どう・はたら・ばたら,to work
勤める,つとめる,to work for
心配する,しんぱいする,to worry
かく,to write
今日,きょう,today
一緒に,いっしょに,together
トイレ,toilet
トマト,tomato
あした,tomorrow
こんばん,tonight
歯,は,tooth
大変,たいへん,tough (situation)
町,ちょう・まち,town
おもちゃ,toy
〜番線,ばんせん,track number
電車,でんしゃ,train
乗り替え,のりがえ,transfer
旅行,りょこう,travel
旅,りょ・たび,travel
木,もく・も,tree
テレビ,TV
二,に・ふた,two
二つ,ふたつ,two
二人,ふたり,two people
あの,um...
かさ,umbrella
下,した,under
たいてい,usually
やさい,vegetable
とても,very
もうすぐ,very soon/in a few moments/days
さいふ,wallet
暖かい,あたたかい,warm
とけえ,watch
水,みず・すい,water
道,どう・みち,way
間も無く覇者します,まもなくはしゃします,we will leave soon
天気,てんき,weather
天気予報,てんきよほう,weather forecast
曜,よう,weekday
しゅうまつ,weekend
いらっしゃいませ,welcome
おかえり,なさい,welcome home
西,せい・にし,west
何,なに・なん,what
どんな,what kind of...
なん・何,what?
いつ,when
どこ,where
どちら/どっち,which
どれ,which one?
どの,which?
白い,しろい,white
誰,だれ,who?
どうして,why
窓,まど,window
冬,ふゆ,winter
女,じょ・おんな,woman
女の人,おんなのひと,woman
語,ご,word
単語,たんご,word/vocabulary
しごと,"work, job, occupation"
世界,せかい,world
ばつ,wrong
年,ねん・とし,year
〜年,ねん,years
円,えん・まる,yen/circle
ええ,yes
はい,yes
うん,yes
昨日,きのう,yesterday
あなた,you
若い,わかい,young
弟,おとうと,younger brother
妹,いもうと,younger sister
無茶,むちゃ,unreasonable/excessive/absurd
ウェイター,waiter
お宅,おたく,someone's home
外国語,foreign language
楽器,がっき,musical instrument
空手,からて,karate
カレー,curry
着物,きもの,kimono
広告,こうこく,advertisement
紅茶,こうちゃ,black tea
言葉,ことば,language
ゴルフ,golf
セーター,sweater
象,ぞう,elephant
バイオリン,violin
バイク,motorcycle
物価,ぶっか,prices
文法,ぶんぽう,grammar
弁護士,べんごし,lawyer
募集,ぼしゅう,recruitment
店,みせ,shop
やくざ,yakuza
約束,やくそく,promise/appointment
レポート,term paper
私,わたくし,I (formal)
嬉しい,うれしい,glad
悲しい,かなしい,sad
辛い,からい,hot and spicy
厳しい,きびしい,strict
すごい,awesome
近い,ちかい,near/close
いろいろ,various/different kinds
幸せ,しあわせ,happy
だめ,no good
編む,あむ,to knit (を）
貸す,かす,to rent/to lend
頑張る,がんばる,to try hard/do your best
泣く,なく,to cry
磨く,みがく,to brush/to polish
約束を守る,やくそくをまもる,to keep a promise
感動する,かんどうする,to be moved by/touched by
いらっしゃいます,welcome home
〜回,かい,...times
〜キロ,kilograms/kilometers
実は,じつは,as a matter of fact
全部,ぜんぶ,all
〜と申します,ともうします,my name is
一日,いちにち,one day
兄,あに,(my) older brother
大家さん,おおやさん,landlord
お返し,おかえし,return (as a token of gratitude)
奥さん,おくさん,(your/his) wife
おじさん,uncle
おばさん,aunt
グラス,glass
クリスマス,Christmas
ご主人,ごしゅじん,(your/her) husband
皿,さら,plate
時間,じかん,time
チケット,ticket
めいぐるみ,stuffed animal
ネクタイ,necktie
バレンタインデー,Valentine's Day
ビデオカメラ,camcorder
夫婦,ふうふ,married couple
マフラー,scarf
漫画,まんが,comic book
マンション,apartment building/condominium
みかん,mandarin orange
皆さん,みなさん,everyone/all of you
指輪,ゆびわ,ring
ラジオ,radio
両親,りょうしん,parents
履歴書,りれきしょ,resume
欲しい,ほしい,wanted
けち,stingy/cheap
送る,おくる,to send
似合う,にあう,to look good (on somebody)
諦める,あきらめる,to give up
あげる,to give (to others)
くれる,to give (me)
相談する,そうだんする,to consult
プロポーズする,to propose
同じ,the same
 〜くん,Mr/Ms (casual)
こんな〜,like this/this kind of
ちょうど,exactly
どうしたらいい,what should one do
よく,well
〜個,こ,counter for small items
〜冊,さつ,counter for bound volumes
〜台,だい,counter for equipment
〜匹,ひき,counter for small animals
〜本,ほん,counter for long objects
物,もの,thing
鳥,とり・ちょう,bird
料,りょう,ingredients
理,り,reason
特,とく・とっ,special
安,やす・あん,cheap/ease
飯,はん,food/cooked rice
肉,にく,meat
悪,あく・わる,bad/wrong
体,たい・からだ,body
空,くう・そら・から,sky/empty
港,こう・みなと,port/harbor
着,ちゃく・つ・き,to reach/wear
海,うみ・かい,sea
昼,ちゅう・ひる,noon/daytime
気分,きぶん,feeling/mood
一生,いっしょう,whole lifetime
一度,いちど,one time
経験,けいけん,experience
特に,とくに,especially
珍しい,めずらしい,rare
何でも,なんでも,anything/everything
鍋,なべ,pot
不安な,ふあんな,uneasy/worried
すっぽん,snapping turtle
かめ,turtle
体にいい,good for health
一生に一度,once in a lifetime
やっぱり,after all
もう〜ない,not any longer
満員電車,まんいんでんしゃ,jam-packed train
第一印象,だいいちいんしょう,first impression
混む,こむ,to get crowded
混むでいる,こむでいる,to be crowded
空港,くうこう,airport
着く,つく,to arrive
ラッシェ,rush hour
考える,かんがえる,to think about
スーツケース,suitcase
口座,こうざ,account
手数料,てすうりょう,comission
キャッシュカード,bank card
通帳,つうちょう,passbook
預金,よきん,savings
百円玉,ひゃくえんだま,100-yen coin
金額,きんがく,amount
暗証番号,あんしょうばんごう,personal idenfication number
お預け入れ,おあずけいれる,deposit
お引き出し,おひきだし,withdrawal
通帳記入,つうちょうきにゅう,passbook update
お振込,おふりこみ,bank transfer
クレジットカード,credit card
残高照会,ざんだかしょうかい,balance inquiry
ひょっこり,all of a sudden 
宝物,たからもの,Treasured item/prized possession 
連絡,れんらく,to contact
不思議,ふしぎ,wonder/miracle/mystery
生き物,いきもの,living thing/animal
草,くさ,grass
洞窟,どうくつ,cave
戦う,たたかう,battle
教える,おしえる,to teach
お任せ,おまかせ,leaving the descision to someone else
ご機嫌,ごきげん,humour/humor/mood/spirits
到着,とうちゃく,arrival
引っ越す,ひっこす,to move house
準備,じゅんび,preparation
太陽,たいよう,sun/solar
眩しい,まぶしい,dazzling/radiant
片付ける,かたずける,to tidy up
呼ぶ,よぶ,to call/invite
手帳,てちょう,notebook/diary
本体,ほんたい,real form/main part
戦闘,せんとう,battle/fight/combat
遠い,とおい,distant
離れる,はなれる,to be apart
絶対,ぜったい,absolutely
暮らす,くらす,to get along/spend time
探検,たんけん,exploration/expedition
心得る,こころえる,to know/understand/be aware of
帽子,ぼうし,hat
叢・草むら,くさむら,grassy place/clump of bushes
形,かたち,shape/form/style
いつの間にか,いつのまにか,before one knows/before one becomes aware
繰り出す,くりだす,to let out/to send out
技,わざ,skill/ability/art
近づく,ちかづく,to approach
危ない,あぶない,dangerous
科学,かがく,science
世界中,せかいじゅう,around the world
驚く,おどろく,to be surprised
勝手に,かってに,arbitrarily/voluntarily
飛び出す,とびだす,to jump out/rush out/fly out
楽園,らくえん,paradise
博士,はかせ,Dr/expert
潜む,ひそむ,to lurk/to be concealed
野生,やせい,wild
襲う,おそう,to attack
平気,へいき,coolness/calmness
選ぶ,えらぶ,to choose
相手,あいて,companion/partner
手持ち,てもち,in hand/on hand
加える,くわえる,to add up/to append
渡す,わたす,to cross a river
頑丈,がんじょう,solid/firm/sturdy
岩,いわ,boulder
壊す,こわす,demolition/break/destroy
勝つ,かつ,to win
拾う,ひろう,to pick up
冒険,ぼうけん,adventure/risk
戻る,もどる,to return/restore
願う,ねがう,to request/petition
勝負,しょうぶ,victory or defeat/match/contest
見事,みごと,splendid/beautiful/admirable
守り神,まもりがみ,guardian deity
解決,かいけつ,settlement/solution/resolution
効果,こうか,effectiveness
バツグン,distinction/extraordinariness
倒れる,たおれる,to fall/to drop
経験値,けいけんち,experience points
波に乗る,なみにのる,to go with the flow
越える,こえる,to cross over
発展,はってん,growth/development
ともに,together/jointly
仲間,なかま,company/fellow/colleague
穏やか,おだやか,calm/gentle/quiet
一生懸命,いっしょうけんめい,very hard/with utmost effort
集める,あつめる,to collect
笑う,わらう,to love
寝る,ねる,to lie down
すっかり,totally/entirely
姿,すがた,figure/form/shape
大切,たいせつ,important/necessary
身勝手,みがって,selfish
助手,じょしゅ,helper/assistant
用事,ようじ,tasks/things to do
勇気,ゆうき,courage
優しい,やさしい,kind/gentle
立派,りっぱ,splendid/handsome/elegant
喜ぶ,よろこぶ,to rejoice
道具,どうぐ,tool/utensil
記録,きろく,record/document
参加,さんか,participation
大事,だいじ,important/serious/crucial
運命,うんめい,fate/destiny
基本,きほん,foundation/standard
捕まえる,つかまえる,to catch/to arrest
味方,みかた,friend/ally
祈ります,to pray
台本,だいほん,script
絵,え,painting/picture/drawing
映画館,えいがかん,movie theater
外国人,がいこくじん,foreigner
家具,かぐ,furniture
クラブ,night club
結婚式,けっこんしき,wedding
地震,じしん,earthquake
締め切り,しめきり,deadline
ジャッケット,jacket
習慣,しゅうかん,custom
税金,ぜいきん,tax
卒業式,そつぎょうしき,graduation ceremony
そば,soba
地図,ちず,map
電池,でんち,battery
庭,にわ,garden
発表,はっぴょう,presentation
番組,ばんぐみ,broadcast program
プール,pool
ペット,pet
保険,ほけん,insurance
予定,よてい,schedule/plan
旅館,りょかん,Japanese inn
割引券,わりびきけん,discount coupon
広い,ひろい,spacious/wide
売る,うる,to sell
下ろす,おろす,to withdraw
描く,かく,to draw/to paint
探す,さがす,to look for
誘うと,さそう,to invite
喋る,しゃべる,to chat
付き合う,つきあう,to date someone/to keep company
保険に入る,ほけんにはいる,to buy insurance
気をつける,きをつける,to be cautious/careful
調べると,しらべる,to look into (a matter)
見える,みえる,to be visible
観光する,かんこうする,to do sightseeing
卒業する,そつぎょうする,to graduate from
予約する,よやくする,to reserve
一日中,いちにちじゅう,all day long
。。。けど,but/so
最近,さいきん,recently
〜目,-th
もう一度,もういちど,on more time
島,しま,island
感謝,かんしゃ,thanks/gratitude
田舎,いなか,rural area
材木,ざいもく,lumber/timber
苦手,にがて,poor/weak
巡り,めぐり,pilgrimage/tour
無事,ぶじ,safety/peace/quietness
好奇心旺盛,こうきしんおうせい,brimming with curiosity
満足,まんぞく,satisfaction/complacency/sufficient
加工,かこう,manufacturing/processing/treatment
必要,ひつよう,needed/essential/necessary
使命,しめい,mission/errand/duty
各地,かくち,every place/various places
最強,さいきょう,strongest
詳しい,くわしい,detailed
限界,げんかい,limit/bound
越える,こえる,transcend
若者,わかもの,young man/young woman
渡る,わたる,transit/ferry/cross
挑む,いどむ,to challenge
託,たく,requesting/entrusting with
